sku,name,chemistry,ph,shelf_life,pack_size,ppe,avoid,categories,specific_gravity,foam_profile,water_hardness
ACX-1226-VAR,Air Freshener,Odour-neutralising agent + fragrance blend — non-alcoholic aqueous system,6.0–7.0 (near-neutral),"24 months from date of manufacture, unopened",500 ml ready-to-use trigger spray,None required under normal use conditions,"Direct spray onto food contact surfaces, open food, electronic equipment, and polished wood finishes","Alle's ClinX Products, Education, Healthcare, Industrial > Heavy-Duty Restrooms, Hospitality, Education > Hostel & Dorms, Industrial, Labs > Kitchen & Personal Hygiene, Labs, Hospitality > Lobby & Common Areas, Healthcare > Patient Rooms, Healthcare > Waiting Areas",0.99–1.01 at 25°C,,
ACX-2539-VAR,Anionic Surfactant Concentrate - Alkaline,Linear Alkylbenzene Sulphonate (LAS) 30–35% w/w,10.0–12.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,Gloves recommended — alkaline concentrate,,"Alle's ClinX Products, Industrial > Factory Floor, Healthcare, Industrial, Healthcare > Laboratories, Labs, Labs > Utility & Laundry Care, Industrial > Warehouse",,High foam — not suitable for machine washing without defoamer,Effective up to approx. 300 ppm CaCO3 (moderately hard water); efficacy declines above this level - add a chelating builder for very hard water
ACX-2221-VAR,Antiseptic Handwash - CHG Clinical,Chlorhexidine Gluconate 1% w/v + BKC 0.1% w/w,5.5–7.0,"24 months from date of manufacture, unopened",5 Litres,None required for normal use,,"Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Healthcare, Hospitality, Hospitality > Kitchen & Food Service, Labs > Kitchen & Personal Hygiene, Labs, Healthcare > Operating Theatres, Healthcare > Patient Rooms",,,
ACX-1243-VAR,Bathroom & Tile Cleaner - Lime,Alkaline surfactant blend — bathroom and tile cleaner,9–10 (alkaline),"24 months from manufacture date, unopened",5 Litres,,"Natural marble, acid-sensitive stone, toilet bowl interior","Alle's ClinX Products, Education, Hospitality > Guest Rooms, Healthcare, Industrial > Heavy-Duty Restrooms, Hospitality, Education > Hostel & Dorms, Industrial, Hospitality > Lobby & Common Areas, Mini, Healthcare > Waiting Areas",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1221-VAR,Calcite & Limescale Remover - Acidic,Hydrochloric Acid (HCl) 33% w/w,1.5–2.0 (strongly acidic),"24 months from date of manufacture, unopened",5 Litres,Gloves and eye protection mandatory. Never mix with bleach.,"Marble, granite, natural stone, stainless steel, acid-sensitive surfaces","Alle's ClinX Products, Education, Industrial > Factory Floor, Labs > Floor & Lavatory Care, Hospitality > Guest Rooms, Healthcare, Industrial > Heavy-Duty Restrooms, Hospitality, Education > Hostel & Dorms, Industrial, Labs, Healthcare > Waiting Areas",1.15–1.18 at 25°C,,
ACX-2538-VAR,Carbonised Grease Remover - Caustic Gel,Caustic-enhanced high-alkalinity saponification,12.0–13.0 (strongly alkaline),"24 months from date of manufacture, unopened",5 Litres,Chemical-resistant gloves and eye protection — mandatory,"Aluminium, galvanised surfaces, soft metals — caustic attacks these substrates","Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Industrial > Factory Floor, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs > Kitchen & Personal Hygiene, Labs",,,
ACX-CARPETSH-VAR,Carpet & Upholstery Shampoo Concentrate - Low-Foam,Low-foam surfactant blend + soil-release polymer,7.0–8.5 (mild alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,Gloves recommended for concentrate handling,,"Alle's ClinX Products, Hospitality > Banquet Halls, Education, Hospitality, Education > Hostel & Dorms, Labs, Hospitality > Lobby & Common Areas, Labs > Utility & Laundry Care",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1234-VAR,Chimney & Exhaust Degreaser - Alkaline,High-alkalinity surfactant + saponification system,11.0–12.0 (strongly alkaline),"24 months from date of manufacture, unopened",5 Litres concentrate,Gloves + eye protection mandatory. Use in ventilated areas.,"Aluminium, painted surfaces, soft metals — high pH causes etching and discolouration","Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Industrial > Factory Floor, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs > Kitchen & Personal Hygiene, Labs",1.04–1.07 at 25°C,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1235-VAR,Citric Bathroom Descaler - Alkaline,Alkaline surfactant blend — bathroom and tile cleaner,10.0–11.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres,None at standard use,Toilet bowl interior (use Toilet Cleaner) · Natural marble and acid-sensitive stone,"Alle's ClinX Products, Education, Labs > Floor & Lavatory Care, Hospitality > Guest Rooms, Healthcare, Industrial > Heavy-Duty Restrooms, Hospitality, Education > Hostel & Dorms, Industrial, Labs, Healthcare > Patient Rooms, Healthcare > Waiting Areas",1.01–1.03 at 25°C,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-CONCDEG-VAR,Concrete Floor Degreaser - Heavy-Duty Alkaline,Alkaline builder + surfactant blend + solvent fraction,11.0–13.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,Gloves and eye protection recommended for concentrate handling,,"Alle's ClinX Products, Industrial > Factory Floor, Labs > Floor & Lavatory Care, Industrial, Labs, Industrial > Warehouse",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1222-VAR,Dish Concentrate - Alkaline,Anionic + non-ionic surfactant blend with alkaline builder,9.0–11.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres concentrate,Gloves for prolonged skin contact,Anodised aluminium over extended soak periods,"Alle's ClinX Products, Industrial > Break Rooms, Education > Cafeteria & Kitchen, Education, Healthcare, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs > Kitchen & Personal Hygiene, Labs",1.03–1.06 at 25°C,Controlled low-foam — machine compatible,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-PHDISH-VAR,Dishwash Concentrate - pH Neutral,"Anionic + non-ionic surfactant blend, 8–12% w/w total active",6.5–7.5 (neutral),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,None required under normal use,,"Alle's ClinX Products, Industrial > Break Rooms, Education > Cafeteria & Kitchen, Education, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs > Kitchen & Personal Hygiene, Labs",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-DFC2IN1-VAR,Disinfectant Floor Cleaner - 2-in-1,,7.0–9.0,,5 L · 20 L,,,"Alle's ClinX Products, Industrial > Factory Floor, Healthcare, Hospitality, Industrial, Hospitality > Lobby & Common Areas, Mini, Healthcare > Patient Rooms",,,Efficacy reduces above approx. 300 ppm CaCO3 hardness - quaternary actives are hard-water sensitive
ACX-1231-VAR,Fabric Deodorizer - Lavender,Odour-neutralising aldehyde compounds + lavender fragrance system,Neutral,"18 months from date of manufacture, unopened",5 Litres,,Silk or dry-clean only fabrics — patch test first,"Alle's ClinX Products, Hospitality > Banquet Halls, Education, Hospitality > Guest Rooms, Healthcare, Hospitality, Education > Hostel & Dorms, Labs, Healthcare > Patient Rooms, Labs > Utility & Laundry Care",0.98–1.00 at 25°C,,
ACX-1228-VAR,Fabric Softener Concentrate - Neutral pH,Cationic conditioning agent — quaternary ammonium compound,6.5–7.5 (neutral),"18 months from date of manufacture, unopened",5 Litres,,"Microfibre cloths, moisture-wicking technical fabrics","Alle's ClinX Products, Education, Hospitality > Guest Rooms, Healthcare, Hospitality, Education > Hostel & Dorms, Labs, Healthcare > Patient Rooms, Labs > Utility & Laundry Care",1.00–1.02 at 25°C,,
