No,Title,Category,Type,Pages,Filename,Suggested Learn article,Primary purpose
1,Daily Cleaning Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/01-alles-clinx-daily-cleaning-checklist.pdf,How to Use a Daily Cleaning Checklist: Free Template,"A shift-level control sheet for routine cleaning completion, exceptions and supervisor verification."
2,Area Cleaning Schedule,Core cleaning operations,planner,1,01-core-cleaning-operations/02-alles-clinx-area-cleaning-schedule.pdf,How to Use a Area Cleaning Schedule: Free Template,"Assign what is cleaned, how often, with which method, by whom, and how completion is verified."
3,Cleaning Frequency Matrix,Core cleaning operations,matrix,1,01-core-cleaning-operations/03-alles-clinx-cleaning-frequency-matrix.pdf,How to Use a Cleaning Frequency Matrix: Free Template,A simple matrix to convert facility risk and usage into a visible cleaning frequency plan.
4,High-Touch Surface Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/04-alles-clinx-high-touch-surface-checklist.pdf,How to Use a High-Touch Surface Checklist: Free Template,"A focused checklist for surfaces touched repeatedly by occupants, visitors and staff."
5,Washroom Inspection Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/05-alles-clinx-washroom-inspection-checklist.pdf,How to Use a Washroom Inspection Checklist: Free Template,"A rapid operational inspection for cleanliness, supplies, defects and user readiness."
6,Deep Cleaning Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/06-alles-clinx-deep-cleaning-checklist.pdf,How to Use a Deep Cleaning Checklist: Free Template,A controlled sequence for periodic cleaning beyond the routine daily scope.
7,Opening Hygiene Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/07-alles-clinx-opening-hygiene-checklist.pdf,How to Use a Opening Hygiene Checklist: Free Template,"A pre-opening check to confirm that public and staff areas are clean, stocked and safe for occupancy."
8,Closing Hygiene Checklist,Core cleaning operations,checklist,1,01-core-cleaning-operations/08-alles-clinx-closing-hygiene-checklist.pdf,How to Use a Closing Hygiene Checklist: Free Template,"A close-of-day control to leave the facility clean, secured and ready for the next operating period."
9,Housekeeping Shift Handover Sheet,Core cleaning operations,handover,1,01-core-cleaning-operations/09-alles-clinx-housekeeping-shift-handover-sheet.pdf,How to Use a Housekeeping Shift Handover Sheet: Free Template,"A concise handover so the next shift can see priorities, restrictions, stock issues and unresolved work immediately."
10,Weekly / Monthly Periodic Cleaning Log,Core cleaning operations,log,1,01-core-cleaning-operations/10-alles-clinx-weekly-monthly-periodic-cleaning-log.pdf,How to Use a Weekly / Monthly Periodic Cleaning Log: Free Template,A completion record for tasks that are not performed every shift or every day.
